id,name,ra,dec,mag,filter_id,type
0,2025aarm,68.0516640944,-5.37764074294,,,TDE
1,2019qiz,71.657833,-10.226361,,,TDE
2,Betelgeuse,88.792939,7.407064,0.50,7,Star
3,2023ixf,210.910674637,54.3116510708,,,SN
4,Andromeda,10.68458333,41.26916667,3.44,7,Galaxy
5,MilkyWayCenter,266.41683,-29.00781,,7,Galaxy
6,LargeMagellanicCloud,80.89375,-69.75611,0.90,7,Galaxy
7,SmallMagellanicCloud,13.15833,-72.80028,2.70,7,Galaxy
8,M87,187.70593,12.39112,9.59,7,Galaxy
9,M51,202.46958,47.19528,8.40,7,Galaxy
10,M81,148.88822,69.06529,6.94,7,Galaxy
11,M82,148.96750,69.67972,8.41,7,Galaxy
12,NGC1300,49.92208,-19.41194,11.40,7,Galaxy
13,NGC4993,197.44883,-23.38300,12.40,7,Galaxy
14,NGC253,11.88800,-25.28800,7.10,7,Galaxy
15,Sirius,101.287155,-16.716116,-1.46,7,Star
16,Vega,279.234735,38.783689,0.03,7,Star
17,Polaris,37.954560,89.264108,1.98,7,Star
18,AlphaCentauri,219.902058,-60.833993,-0.27,7,Star
19,ProximaCentauri,217.429200,-62.679490,11.13,7,Star
20,Deneb,310.357979,45.280338,1.25,7,Star
21,Altair,297.695827,8.868321,0.77,7,Star
22,Arcturus,213.915300,19.182410,-0.05,7,Star
23,Rigel,78.634467,-8.201638,0.12,7,Star
24,Aldebaran,68.980163,16.509302,0.85,7,Star
25,RRLyrae,291.36678,42.79225,7.76,7,VariableStar
26,DeltaCephei,337.74100,58.54700,3.48,7,VariableStar
27,Mira,34.83663,-2.97764,6.47,7,VariableStar
28,Algol,47.04222,40.95556,2.12,7,VariableStar
29,BetelgeuseVar,88.792939,7.407064,1.20,7,VariableStar
30,SN1987A,83.86667,-69.26972,,7,SN
31,SN2014J,148.92500,69.67389,,7,SN
32,SN1993J,148.88822,69.06529,,7,SN
33,SN2020oi,181.47900,-22.97100,,7,SN
34,SN2011fe,210.80225,54.34895,,7,SN
35,AT2018cow,244.00042,22.26814,,7,Transient
36,AT2020mrf,202.10312,31.19587,,7,Transient
37,SwiftJ1644,251.15742,57.57900,,7,TDE
38,ASASSN14li,192.06375,17.77389,,7,TDE
39,ZTF18abccmzf,150.11412,2.20598,,7,Transient
40,PSR_B0329+54,53.24583,54.57861,,1,Pulsar
41,PSR_J0437-4715,69.31623,-47.25243,,1,Pulsar
42,CrabPulsar,83.63308,22.01450,,1,Pulsar
43,VelaPulsar,128.83692,-45.17643,,1,Pulsar
44,SgrAStar,266.41683,-29.00781,,2,BlackHole
45,TON618,189.20750,65.71939,,1,Quasar
46,3C273,187.27792,2.05239,12.90,7,Quasar
47,3C48,24.42208,32.54139,,1,Quasar
48,OJ287,133.70365,20.10851,,1,Blazar
49,BL_Lacertae,330.68038,42.27777,,1,Blazar
50,PKS2155-304,329.71694,-30.22559,,1,Blazar
51,Mrk421,166.11381,38.20883,,1,Blazar
52,Mrk501,253.46757,39.76017,,1,Blazar
53,NGC4151,182.63575,39.40585,,7,AGN
54,NGC1068,40.66962,-0.01329,9.61,7,AGN
55,CentaurusA,201.36506,-43.01911,6.84,7,AGN
56,CircinusGalaxy,213.29154,-65.33902,,7,AGN
57,SombreroGalaxy,189.99750,-11.62306,8.98,7,Galaxy
58,WhirlpoolCompanion,202.48417,47.21250,10.20,7,Galaxy
59,TriangulumGalaxy,23.46208,30.66022,5.72,7,Galaxy
60,M101,210.80225,54.34895,7.86,7,Galaxy
61,M104,189.99750,-11.62306,8.98,7,Galaxy
62,M33_HII_Region,23.46250,30.66050,,2,Nebula
63,OrionNebula,83.82208,-5.39111,4.00,7,Nebula
64,CrabNebula,83.63308,22.01450,8.40,7,Nebula
65,EagleNebula,274.70000,-13.80667,,7,Nebula
66,RosetteNebula,97.50000,4.95000,,7,Nebula
67,LagoonNebula,270.92500,-24.37500,,7,Nebula
68,HelixNebula,337.40417,-20.83667,7.30,7,Nebula
69,DumbbellNebula,299.90125,22.72167,7.50,7,Nebula
70,CatEyeNebula,269.60042,66.63306,8.10,7,Nebula
71,KeplerSNRemnant,262.67208,-21.48556,,7,SNRemnant